
HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
1287, 1,VAR:,Delta Sct 5.37 - 5.44V, 0.144923d.  Possible other periods 0.126535 and 0.126569d.  Light curve composite of 0.1449
1287, 2,VAR:,and 0.1120d.  Amp. B-V 0.035, amp. U-B 0.015.  Variations in U-B opposite in phase from B-V.
1289, 1,S:  ,Shell star.
1292, 1,G:  ,In Taurus cluster; Mel 25 #14; the Hyades.
1296, 1,VAR:,Probably var., amp. 0.08V.
1297, 1,VAR:,Spectrum var.
1298, 1,N:  ,Beid.
1298, 1,VAR:,Delta Sct 4.00 - 4.05V, 0.0815d.  Secondary per. 0.1291d.
1299, 1,S:  ,Weak G-band.  Also classified G8III-IV.
1300, 1,SB: ,3.6587d, K 104.5k/s, V0 +32.8k/s, msin3i 1.75, asini 5.26.  Two equal Am stars.  Same vsini 30k/s.
1302, 1,S:  ,Also classified F2IV/V.
1303, 1,D:  ,A* 4.13 G0Ib, 0.778y, a = 0.019".  AB CPM; B, 11.8v at 15".  C , 10.25V, +0.47(B-V), +0.06(U-B), B8.
1303, 1,SB: ,283.272d, K 20.7k/s, V0 +7.7k/s, asini 80.5.  Unresolved by speckle interferometry.
1303, 1,VAR:,ADS 3071A, 4.1 - 4.24V.
1306, 1,SB: ,1576.44d, K 18.1k/s, V0 -4.5k/s, asini 358.  Unresolved by speckle interferometry 1983.93.  vsini of secondary
1306, 2,SB: ,100k/s.
1307, 1,G:  ,In reflection nebula; member assoc. Tau R2 at 135 pc.
1308, 1,D:  ,B, 13.6v at 8"; C, optical.
1309, 1,D:  ,6.0 F2V, 6.1 F3V, 7.18y, a = 0.135".  Resolved by speckle interferometry 1983.93, sep. 0.09".
1309, 1,DYN:,0.024".
1310, 1,G:  ,Probably Hyades group.
1311, 1,D:  ,AB binary; C, 12v at 32" optical.
1311, 1,DYN:,0.003".
1311, 1,G:  ,Hyades?
1318, 1,D:  ,AB binary, B is G2V.
1318, 1,DYN:,0.016".
1318, 1,G:  ,Wolf 630 group.
1319, 1,G:  ,In Taurus cluster; Mel 25 #20; the Hyades.
1320, 1,G:  ,Cas-Tau OB1; member of Pleiades group.
1321, 1,D:  ,CPM with HR 1322.
1321, 1,VAR:,BY, 6.92 - 7.00V.  The fainter component of ADS 3085.  Amp. 0.06V, 6.8d rotational period traced by large scale
1321, 2,VAR:,star-spot activity.
1322, 1,D:  ,CPM with HR 1321.
1322, 1,VAR:,6.28 - 6.37V.
1324, 1,G:  ,In NGC 1545 #1; Hyades group.
1324, 1,M:  ,Source of weak radio emission.
1324, 1,SB: ,Comp. ABC: 701.76d, K 11.4k/s, V0 +21k/s, asini 107.  Comp. A: 1.527365d, K 39.4k/s, V0 var., asini 0.827.
1324, 2,SB: ,Unresolved by speckle interferometry.
1324, 1,VAR:,Ell 4.59 - 4.65V, 1.527365d.  Radio binary showing radio flare activity. Third component may eclipse primary.
1325, 1,D:  ,BC 9.51 A2, 11.18 M4Ve, 252.1y, a = 6.943".  Component B is white dwarf. Component A, CPM.
1325, 1,DYN:,0.199".
1325, 1,N:  ,Keid; Kied.
1325, 1,VAR:,ADS 3093C; UV, min. 11.18V, +1.50 (B-V), 12.16 - 13.85U.  X-ray source.
1326, 1,G:  ,Wolf 630 group.
1327, 1,G:  ,In Ursa cluster; Sirius group; UMa stream.
1329, 1,D:  ,Duplicity questioned.
1329, 1,SB: ,Over 5300d?, 5.0, 7.0v, sep. 0.05".  Unresolved by speckle interferometry.
1330, 1,G:  ,NGC 1545 #1.
1331, 1,D:  ,Visual primary is speckle-interferometric double, sep. 0.076". Visual companion 10.7v at 166".
1331, 1,G:  ,In Taurus cluster; Mel 25 #24; the Hyades.
1331, 1,SB: ,4035d, K 9.1k/s, V0 +38.3k/s, asini 475.  Resolved by speckle interferometry 1977, sep. 0.08"; 1983.93, sep. 0.15".
1333, 1,G:  ,Cas-Tau OB1.
1333, 1,SB: ,1.527365d, K 38.83k/s, V0 +20.66k/s, asini 0.815.
1333, 1,VAR:,Amp. 0.020V.
1338, 1,S:  ,Also classified F0V-F5V.
1338, 1,VAR:,EW? or Delta Sct? 4.23 - 4.27V, per. between 0.33 and 1.0d.
1339, 1,D:  ,CPM with HR 1341.
1339, 1,G:  ,Member of Pleiades group.
1339, 1,S:  ,Manganese star showing enhanced gallium, strontium, yttrium, zirconium. Manganese 120 times normal.
1339, 1,SB: ,4.452064d, K 9.6k/s, V0 +12.5k/s, asini 0.587. Shortest period for binary Mn star. Unresolved by speckle
1339, 2,SB: ,interferometry.
1340, 1,D:  ,Optical.
1340, 1,G:  ,Probable Hyades group.
1341, 1,D:  ,CPM with 1339.
1341, 1,G:  ,Member of Pleiades group.
1341, 1,VAR:,0.07V, 1.569d (light and spectrum).
1345, 1,VAR:,Amp. 0.3V.
1346, 1,G:  ,In Taurus cluster; Mel 25 #28; the Hyades.
1346, 1,N:  ,Hyadum I.
1346, 1,VAR:,Amp. 0.1V.
1347, 1,D:  ,C, 11.8v at 49".
1347, 1,G:  ,Member of Pleiades group.
1347, 1,S:  ,HgMn star.
1347, 1,SB: ,B8, B9.5 5.0105d, K 63.8k/s, V0 +17.8k/s, msin3i 0.559, asini 4.40.  Equal components, equal vsini 12k/s;
1347, 2,SB: ,rotational velocity 31k/s.
1347, 1,VAR:,Small amp., possible periods 0.96, 1.93, 8.5, 0.89d, with 8.5 slightly favored (Manfroid and Mathys 1985, A&AS,
1347, 2,VAR:,59, 429).
1348, 1,D:  ,Optical.
1348, 1,G:  ,Hyades?
1349, 1,D:  ,Astrometric binary unresolved by speckle interferometry.
1350, 1,G:  ,Member of Pleiades group.
1350, 1,SB: ,Same period as VAR.
1350, 1,VAR:,Amp. 0.01V, 7.29?hrs.
1351, 1,D:  ,Binary.
1351, 1,G:  ,In Taurus cluster; Mel 25 #30; the Hyades.
1351, 1,VAR:,Delta Sct 5.56 - 5.59V, 0.054d.
1352, 1,VAR:,ADS 3146B, 10.5 - >12V.
1353, 1,S:  ,K/H/m indicate A4/F0/F5, respectively.
1354, 1,G:  ,In Taurus cluster; Mel 25 #32; the Hyades.
1356, 1,G:  ,In Taurus cluster; Mel 25 #33; the Hyades.
1356, 1,VAR:,Delta Sct 5.20 - 5.26V, 0.036d or double.
1357, 1,D:  ,Binary. Combined mag., colors.
1357, 1,VAR:,Amp. 0.015y, 2.833d.
1358, 1,G:  ,In Taurus cluster; Mel 25 #34; the Hyades.
1358, 1,SB: ,3.0591d, K 71.0k/s, V0 +36.1k/s, msin3i 0.493, asini 2.99, i 51d?  vsini both components 12k/s.
1359, 1,D:  ,Secondary F7V, vsini 90k/s.
1362, 1,VAR:,BY, amp. 0.12V, 154d.
1363, 1,VAR:,Varies several hundredths of a mag. on a time scale of days.
1364, 1,D:  ,CPM.  Companion G0V.
1366, 1,D:  ,B, 13.0v at 36" optical.
1368, 1,G:  ,In Taurus cluster; Mel 25 #38; the Hyades.
1368, 1,S:  ,Also classified F2IIIbmvs.
1368, 1,SB: ,2.1433d, K 26.6k/s, V0 +41.7k/s, asini 0.783.
1369, 1,D:  ,CPM.  Component A suspected occultation double; component B, G2V, strong lithium.
1369, 1,RV: ,ADS 3161B, +36.8k/s.
1370, 1,DYN:,0.003".
1373, 1,G:  ,In Taurus cluster; Mel 25 #41; the Hyades.
1373, 1,N:  ,Hyadum II.
1373, 1,SB: ,529.8d, K 3.0k/s, V0 +39.5k/s, asini 19.8.  D. W. Dunham indicates 3.9, 13.0v, sep. 0.04".
1373, 1,VAR:,Amp. 0.1V.
1374, 1,D:  ,AB 6.6 F1V, 6.9 F3V, 76.92y, a = 0.500". Combined mag., color.  Component C, 12v at 37" optical; D, 8.25V, +0.57(B-V),
1374, 2,D:  ,+0.04(U-B), G0 at 45" CPM.
1374, 1,DYN:,0.019".
1374, 1,VAR:,Amp. 0.13V.
1376, 1,G:  ,In Taurus cluster; Mel 25 #45; the Hyades.
1376, 1,S:  ,Ca and Sc underabundant and probably also K.  Violet part of spectrum indicates luminosity III; G-band region, V.  Also
1376, 2,S:  ,classified F1IIImVs.
1376, 1,SB: ,5.9, 7.9, sep. 0.0006", 8.4178d, K 37.6k/s, V0 +35.0k/s, asini 4.33.
1378, 1,D:  ,AB CPM.  B is A0. Component A suspected occultation double.
1378, 1,RV: ,ADS 3179B, +17.1k/s.
1379, 1,DYN:,0.042".
1379, 1,VAR:,ADS 3188B, 9.6 - 11.3v.
1380, 1,G:  ,In Taurus cluster; Mel 25 #47; the Hyades.
1381, 1,D:  ,5.8 A3V, 5.9 A4V, 51.6y, a = 0.18", or 55.40y, a = 0.20".
1381, 1,DYN:,0.007".
1381, 1,G:  ,UMa stream.
1382, 1,D:  ,Optical.
1383, 1,G:  ,In Ursa cluster? Sirius group; UMa stream.
1383, 1,VAR:,Delta Sct?
1384, 1,VAR:,Amp. 0.12V.
1385, 1,G:  ,In Taurus cluster; Mel 25 #53; the Hyades.
1387, 1,D:  ,Kappa1 Tau is occultation double. Together with Kappa2 = HR 1388 they form a multiple system of at least
1387, 2,D:  ,6 components.
1387, 1,G:  ,In Hyades cluster; Mel 25 #54.
1387, 1,VAR:,Delta Sct?
1388, 1,D:  ,See HR 1387.
1388, 1,G:  ,In Hyades cluster; Mel 25 #55.
1388, 1,VAR:,Delta Sct, 5.26 - 5.29V.
1389, 1,D:  ,AB binary; C, 11v at 77" CPM.
1389, 1,G:  ,Hyades cluster; Mel 25 #56.
1389, 1,M:  ,A blue straggler.
1389, 1,R:  ,Diam. 2.1 solar.
1389, 1,SB: ,57.25d, K 68.8k/s, V0 +23.0k/s, asini 50.6.
1389, 1,VAR:,Amp. 0.02U, 57.25d.  Also magnetic field period.
1391, 1,D:  ,AP 7.2 dF5, 7.2, 13.15y, a = 0.133"; occultation binary.  Component B, 12.4v at 126".  Speckle interferometric sep. of
1391, 2,D:  ,AP 0.093" 1980.94; 0.094" 1983.93.
1391, 1,G:  ,Open cluster Mel 25 #57; the Hyades.
1392, 1,D:  ,The visual primary is SB, 4.6, 6.5v, sep. 0.020".  Component B, 12.5v at 110".
1392, 1,G:  ,In Hyades cluster; Mel 25 #60.
1392, 1,N:  ,Some sources call this Upsilon1 and HR 1399 Upsilon2 Tau; other catalogues reverse these designations. The
1392, 2,N:  ,superscripts now rarely used and Upsilon retained for 69 Tau.
1393, 1,G:  ,Hyades group.
1394, 1,D:  ,Visual primary is occultation double. Component B, 11.1 at 137".
1394, 1,G:  ,In Taurus cluster; Mel 25 #141; the Hyades.
1394, 1,SB: ,5200d, K 15.1k/s, V0 +40.8k/s, asini 1050.  Massive invisible component.  Unresolved by speckle interferometry
1394, 2,SB: ,1983.93.
1395, 1,G:  ,Zeta Her group.
1398, 1,D:  ,AB optical?  C, 11v at 4" from B.
1399, 1,N:  ,On nomenclature see HR 1392.
1401, 1,G:  ,Hyades group.
1401, 1,SB: ,4.195d, K 31.3k/s, V0 +9.0k/s, asini 1.81.
1402, 1,RV: ,Period possibly 19.83d or 20.43d.
1403, 1,D:  ,Primary is SB, 6.2, 7.0v, sep. 0.01".  Visual secondary is 10.5v at 161", probably optical.
1403, 1,G:  ,In Taurus cluster; Mel 25 #67; the Hyades.
1405, 1,D:  ,Binary.  Components G1V and G5V.
1405, 1,DYN:,0.044".
1405, 1,RV: ,Np companion -5.2k/s.
1406, 1,D:  ,AB binary; C, 11.32V at 121" optical. Fourth component 13.3v at 17" from C.
1407, 1,D:  ,Sep. 0.024".
1407, 1,R:  ,Diam. 0.0020".
1408, 1,G:  ,In Hyades cluster; Mel 25 #68.
1409, 1,G:  ,In Hyades cluster; Mel 25 #70.
1409, 1,N:  ,Ain; Oculus Boreus.
1410, 1,D:  ,6.8 A2, 7.0, 175.7y, a = 1.250".
1411, 1,C:  ,Color excess E(B-V) = +0.09.
1411, 1,D:  ,CPM with HR 1412.  Not clear if there are one or two occultation companions: mag. diff 3.8v, sep. 0.082", another
1411, 2,D:  ,possible mag. diff 8v, sep. 0.2".
1411, 1,G:  ,In Hyades cluster; Mel 25 #71.
1411, 1,R:  ,Diam. 0.0026".
1411, 1,SB: ,6000 or 3000d.  Unresolved by speckle interferometry 1983.93.
1412, 1,D:  ,CPM with HR 1411.  Close occultation binary, 3.5, 5.8v, sep. 0.005".
1412, 1,G:  ,Member of Hyades cluster; Mel 25 #72.
1412, 1,SB: ,Sep. 0.005", 140.728d, K 31.0k/s, V0 +39.6k/s, asini 39.7, e 0.75.
1412, 1,VAR:,Delta Sct, amp. 0.03V (variable), 0.080d.  Possibly also eclipsing.
1414, 1,G:  ,Hyades cluster; Mel 25 #74.
1415, 1,N:  ,44 Eri in Tau.
1417, 1,D:  ,AB binary. B, 6.94V, +0.16(B-V), -0.70(U-B), B1IV?  vsini =<25k/s.
1417, 1,G:  ,Cam OB1.
1418, 1,G:  ,Wolf 630 group.
1419, 1,D:  ,Suspected of being double; probably single.
1422, 1,D:  ,5.7 F0V, 7.98 G2V, 189.5y, a = 1.01" (alternates 180.0y, a = 1.00"; 170y, a = 1.029").  Combined mass 2.82 solar.
1422, 2,D:  ,Speckle interferometric sep. 1.300" (1980.94).
1422, 1,DYN:,0.022".
1422, 1,G:  ,In Hyades cluster; Mel 25 #80.
1422, 1,SB: ,ADS 3264A, 30.5d.
1423, 1,S:  ,Lyman beta observed from COPERNICUS. Expanding circumstellar shell.
1423, 1,VAR:,Gamma Cas 5.41 - 5.49V.  Expanding circumstellar shell; possibly high velocity mass loss.  Equivalent width of H alpha
1423, 2,VAR:,variable.
1424, 1,D:  ,CPM.
1427, 1,D:  ,Component A of visual pair is occultation double 5.6, 5.6v, sep. 0.02"; component B, 6.7v at 250".
1427, 1,G:  ,In Hyades cluster; Mel 25 #82.
1427, 1,VAR:,Delta Sct?
1428, 1,G:  ,In Hyades cluster; Mel 25 #83.
1430, 1,G:  ,In Hyades cluster; Mel 25 #84.
1432, 1,G:  ,In Hyades cluster; Mel 25 #89.
1436, 1,G:  ,In Hyades cluster; Mel 25 #90.
1441, 1,S:  ,He weak.
1441, 1,VAR:,SX Ari 5.73 - 5.82y, 1.374d.  Var. helium lines.
1442, 1,D:  ,Binary. No change after 113y.
1444, 1,G:  ,In Hyades cluster; Mel 25 #95.
1444, 1,SB: ,488.5d, K 18.5k/s, V0 +30.3k/s, asini 124.  Unresolved by speckle interferometry.
1445, 1,S:  ,Spectra show Hg; possibly Mn.
1448, 1,G:  ,In Ursa cluster; UMa stream.
1449, 1,D:  ,CPM.
1449, 1,VAR:,Alpha CV, amp. 0.035V, 0.065U, 3.80d.
1451, 1,VAR:,Lb? 5.10 - 5.13V, amp. 0.20p.
1454, 1,D:  ,A* 4.27 G8II+B, 28.67y, a = 0.054"(not confirmed).
1454, 1,S:  ,Also classified K0II-III + B9V.
1454, 1,SB: ,10,470d, K 12.8k/s, V0 +5.9k/s, asini 1400.  One of the longest SB periods known, 28.67y. Masses 6 and 5 solar.
1454, 2,SB: ,Unresolved by speckle interferometry.  vsini of both components =<50k/s.
1455, 1,D:  ,Visual duplicity questioned.  Unresolved by speckle interferometry 1983.93.
1456, 1,S:  ,Also classified A5m.
1457, 1,D:  ,AB binary.  B is 13.5v, dM2 at 31".  CD, 122" from A is 11.2, 13.6v sep. 2" also binary but independent of AB.
1457, 1,DYN:,0.048".
1457, 1,G:  ,Hyades group.
1457, 1,N:  ,ALDEBARAN; Cor Tauri; Parilicium.
1457, 1,R:  ,Diam.  Two determinations, 0.022" and 0.0237".
1457, 1,S:  ,IR emission envelope diam. 10". MgII emissions indicate a cooler shell surrounding the supergiant.
1457, 1,VAR:,Lb 0.75 - 0.95V.  Var. H and K emission.
1458, 1,D:  ,CPM.  Companion 7.84V, +0.54(B-V), +0.04(U-B), F8V.  vsini =<25k/s.
1458, 1,G:  ,Hyades group.
1458, 1,R:  ,Diam. relative to Sun = 2.2.
1458, 1,S:  ,Also classified A6-7III-IVmw.
1458, 1,SB: ,ADS 3317A, 3.57124d, K 76.3k/s, V0 +28.7k/s, asini 3.75.
1458, 1,VAR:,ADS 3317A, E?, 4.23 - 4.30V.
1459, 1,G:  ,In Taurus cluster; Mel 25 #100; the Hyades.
1460, 1,D:  ,CPM.  Companion A7V.
1462, 1,D:  ,Component C optical.
1463, 1,G:  ,Ori OB1.
1463, 1,RV: ,0.19d.
1463, 1,VAR:,Beta C 3.4 - 3.60p, 0.17790414d, changing. Probable interference periods 0.1779 and 0.1735d with beat period of
1463, 2,VAR:,7.0256d.  Possibly also E, 103.9d.
1464, 1,N:  ,Theemim; Beemin.  Allen applies this name, after Bayer, to the series of stars, Upsilon1 through Upsilon7
1464, 2,N:  ,Eri, or HR 1143, 1195, 1214, 1347, 1393, 1453 and 1464. (The order of the superscripts varies among different
1464, 3,N:  ,catalogues.)
1464, 1,S:  ,Also classified G8IIIa.
1465, 1,D:  ,3.8 A0IIIp, 4.3 B9IV, 13.00y, a = 0.212". Combined mag., colors.  Companion 10v at 78" optical.
1465, 1,G:  ,Member of Pleiades group.
1465, 1,VAR:,Alpha CV 3.26 - 3.30V, amp. 0.10u, 2.943d.
1466, 1,D:  ,AB 5.8 F0V, 7.4 F9V, 26.25y, a = 0.18" or 26.797y, a = 0.157".  ABxC 5.6, 7.3, 425.0y, a = 1.38".  Component D, 13.2v at
1466, 2,D:  ,at 24" optical.  Spectral classes component A, A9V; B, F8V; C, F8V.
1466, 1,DYN:,0.004".
1467, 1,SB: ,121d, K 28.2k/s, V0 -40.5k/s, asini 46.9.
1467, 1,VAR:,ADS 3359A, Cep?, 5.05 - 5.10V, 5d?
1469, 1,N:  ,49 Eri, in Tau.
1469, 1,VAR:,5.3 - 5.38V.
1470, 1,D:  ,Occultation indicated mag. diff 0.37v, sep. 2.117" (half the visual sep.) and PA 78d in contrast to visual 194d.
1471, 1,SB: ,6.0, 7.5v, sep. 0.0004", 2.0563d, K 65.4k/s, V0 -2.3k/s, asini 1.85.  Masses 4 and 1.2 solar.
1471, 1,VAR:,EA 5.92 - 6.7V, 2.056302d, period possibly variable.
1472, 1,G:  ,In Taurus cluster; Mel 25 #103; the Hyades.
1473, 1,G:  ,In Taurus cluster; Mel 25 #104; the Hyades.
1474, 1,D:  ,IDS gives AB, 5.3, 11.8v sep. 30". Optical. Component C by Wallenquist.
1478, 1,D:  ,Binary with HR 1479 at 431" and with fainter SB companion, 7.4v at 0.0015".
1478, 1,G:  ,Hyades?
1478, 1,SB: ,251.205d, K 5.0k/s, V0 +17.0k/s, asini 16.3.  Unresolved by speckle interferometry.
1479, 1,D:  ,Binary with HR 1478.
1479, 1,G:  ,Hyades cluster; Mel 25 #108.
1480, 1,G:  ,In Taurus cluster; Mel 25 #107; the Hyades.
1481, 1,N:  ,Sceptrum.
1484, 1,S:  ,Spectra show Hg, Mn.
1485, 1,S:  ,Also classified ApSrEuCr.
1486, 1,D:  ,280.0y, e 0.56, a 0.45", i 51.9d, mag. diff 0.0.
1490, 1,D:  ,AB, CPM. Third component by Wallenquist, mag. diff 6.42, sep. 90".
1492, 1,D:  ,B is 11.9 at 34". Uncertain which of components B,C is the brighter:  discordant magnitudes.
1492, 1,G:  ,Gamma Leo group.
1492, 1,S:  ,Probable SiO maser emission. One of the brightest stars in infrared and brightest star visually to show a spectrum as
1492, 2,S:  ,late-type as M8.0.
1492, 1,VAR:,Component A of triple, SRb 4.8 - 6.6v, about 338d.
1496, 1,D:  ,Seen as double only in 1877 and 1923.
1496, 1,VAR:,SRb 4.28 - 4.36V, 30d.
1497, 1,D:  ,AB CPM, 4.3, 8.9v sep. 0.1", 28y? C, 7.3A1V at 63" vsini 100k/s, physical.  D. W. Dunham gives 4.9, 5.6v sep. 0.1" and
1497, 2,D:  ,4.9, 6.4 sep. 0.0005".
1497, 1,G:  ,Cas-Tau OB1.
1497, 1,SB: ,2.9565d, K 53.6k/s, V0 +12.3k/s, msin3i 2.96, asini 2.18.  Resolved by speckle interferometry 1983.93,
1497, 2,SB: ,sep. 0.26".
1500, 1,S:  ,Shell star.
1502, 1,D:  ,CPM.
1502, 1,VAR:,Comp. A of double, Delta Sct?
1504, 1,D:  ,7.2 G5V, 7.3 G6V, 552.30y, a = 3.164".  Combined mag., colors.  Both components also classified G3V.
1504, 1,DYN:,0.038".
1505, 1,D:  ,CPM with HR 1506.
1505, 1,VAR:,Alpha CV?, amp. 0.025V.
1506, 1,D:  ,CPM with HR 1505.
1507, 1,G:  ,In Hyades cluster; Mel 25 #111.
1507, 1,VAR:,Delta Sct?  In Hyades instability strip.
1508, 1,RV: ,Pole on.
1508, 1,VAR:,Gamma Cas 5.76 - 5.98V.  Equivalent width of H alpha is variable.  Amp. 0.09R, 0.05(R-I).
1511, 1,G:  ,Hyades group.
1511, 1,S:  ,Also classified A8IVbmvs.
1512, 1,G:  ,Member of the local association (Pleiades group).
1515, 1,G:  ,Hyades group.
1517, 1,G:  ,Mel 25 #164; the Hyades, probable nonmember.
1519, 1,G:  ,In Hyades cluster; Mel 25 #112.
1520, 1,G:  ,Member of the local association (Pleiades group); Cas-Tau OB1.
1520, 1,SB: ,B3, A3, 7.3589d, K 19.4k/s, V0 +23.3k/s, asini 1.90.
1527, 1,G:  ,Eta Cep group.
1528, 1,SB: ,7.0507d, K 57.8k/s, V0 +20.3k/s, asini 5.60.
1532, 1,S:  ,Also classified G2.5V.
1533, 1,N:  ,Formerly 1 Aur, now in Perseus.
1536, 1,G:  ,Eta Cep group.
1542, 1,C:  ,Color excess E(B-V) = +0.32.
1542, 1,G:  ,In cluster NGC 1502.  A possible runaway star from Cam OB1; in reflection nebula.  Member assoc. Cam R1 at 870 pc.
1542, 1,S:  ,H alpha emission due to extended envelope.  uv 1548 absorption strong, 1394 very strong.  Central Balmer emission in
1542, 2,S:  ,blue-violet only.
1543, 1,D:  ,Visual companion probably optical.
1543, 1,N:  ,Designated Tabit by Becvar but Allen gives Thabit as Burritt's name for an unlettered star on his atlas, the Upsilon
1543, 2,N:  ,of Heis (HR 1855).  The superscripts for Pi Ori adopted in the Harvard catalogues and taken over in the BS
1543, 3,N:  ,correspond to the Heis atlas and Argelander's identifications of Flamsteed numbers. Very many old catalogues follow the
1543, 4,N:  ,BAC. Heis superscripts 1,2,3,4 are respectively 4,2,1,3 in the BAC.
1543, 1,VAR:,Delta Sct? Amp. 0.05V.
1544, 1,N:  ,See HR 1543.
1544, 1,R:  ,Radius relative to Sun = 2.0.
1547, 1,G:  ,In Hyades cluster; Mel 25 #123.
1547, 1,VAR:,Delta Sct 5.09 - 5.11V, 0.042d.
1551, 1,G:  ,Sirius group; UMa stream.
1552, 1,G:  ,Ori OB1.
1552, 1,N:  ,See HR 1543.
1552, 1,SB: ,9.5191d, K 25.8k/s, V0 +23.3k/s, asini 3.38.
1553, 1,N:  ,Formerly 1 Aur now in Perseus.
1554, 1,G:  ,Hyades moving group.
1555, 1,D:  ,CPM.
1556, 1,G:  ,Wolf 630 group.
1556, 1,S:  ,Also classified S4Zr1Ti4 and M3.2IIIas.
1556, 1,VAR:,SRb 4.65 - 4.88V, about 30d.
1557, 1,D:  ,Companion optical.
1560, 1,SB: ,3057d, K 18.1k/s, V0 -8.3k/s, asini 676.  Massive invisible component may be a black hole.  Unresolved by speckle
1560, 2,SB: ,interferometry 1980.02.
1563, 1,D:  ,CPM with HR 1564.  B-V for combined light.
1564, 1,D:  ,CPM with HR 1563.
1566, 1,G:  ,In Taurus cluster; Mel 25 #126; the Hyades.
1567, 1,G:  ,Ori OB1.
1567, 1,SB: ,3.700373d, K 57.9k/s, V0 +24.2k/s, asini 2.95.
1567, 1,VAR:,Ell 3.66 - 3.73V, 3.700363d.
1568, 1,D:  ,AB 4.5, 7.8, 284.0y, a = 0.78".  C, 11v at 26" CPM, possibly physical.
1568, 1,G:  ,UMa stream.
1568, 1,SB: ,ADS 3536A, 3.8845d, K 35.8k/s, V0 -9.5k/s, asini 1.91.
1570, 1,G:  ,Hyades?
1570, 1,N:  ,See HR 1543.
1570, 1,R:  ,Radius relative to Sun = 2.7.
1570, 1,S:  ,Lambda Boo star, Ca, Mg 4481 wk.
1573, 1,G:  ,Aur OB1.
1577, 1,N:  ,Hassaleh in Becvar.
1577, 1,VAR:,4.0 - 4.15p.
1580, 1,D:  ,Optical group.
1580, 1,G:  ,Hyades?
1580, 1,S:  ,Also classified K2IIIbCN-1.
1581, 1,VAR:,Cst? 5.72V.
1585, 1,R:  ,Diam. 0.0017".
1589, 1,D:  ,136.0y, e 0.32, a 0.425", i 88d, mag. diff 1.0.
1590, 1,D:  ,Component A suspected occultation double.  Two visual companions.
1590, 1,RV: ,Two determinations of vsini, 170 and 50k/s.
1592, 1,D:  ,Binary.
1592, 1,DYN:,0.021".
1592, 1,G:  ,Pleiades group.
1593, 1,D:  ,CPM.
1594, 1,G:  ,Hyades group.
1598, 1,VAR:,6.4 - 6.48V.
1599, 1,DYN:,0.037".
1600, 1,D:  ,AB probably optical.  B, 8.0v B9; C, 9.8v at 54"; D, by Wallenquist, mag. diff 7.1 at 90".
1603, 1,C:  ,Color excess E(B-V) = +0.16.
1603, 1,G:  ,Group with HR 1622 and 1719, all nearly same proper motion.
1604, 1,D:  ,AB 5.94 F3V, 7.28 F9V, 54.62y, a = 0.507".  Component C, 8v at 54", optical.
1604, 1,DYN:,0.027".
1605, 1,D:  ,ADS 3605A.  A* 2.98 var. A8Iap.  Five visual and one astrometric components.  AB visual binary, B, 14v at 29"; C,
1605, 2,D:  ,11.26V, +1.83(B-V), +1.31(U-B), at 43"; D, 12.0v at 46".
1605, 1,N:  ,Al Anz; Almaaz.
1605, 1,S:  ,Shell star.  Also classified A8Ia-F2epIa + B.
1605, 1,SB: ,ADS 3605A, 9890d, K 15.0k/s, V0 -1.4k/s, msin3i 16.8, asini 2000. Unresolved by speckle interferometry.
1605, 1,VAR:,ADS 3605A, EA 2.94 - 3.83V, 9892d.  Spectrum var. even outside eclipse. RV and light fluctuations about 110d.
1607, 1,VAR:,M 5.5 - 11.7v.  Period has varied between 418 and 441d:  since JD 2436000, 427.07d; max. mag. varies in period possibly
1607, 2,VAR:,over 40y.
1609, 1,D:  ,Fixed with HR 1610.
1610, 1,D:  ,Fixed with HR 1609.  Colors for combined light.
1611, 1,VAR:,RRc 4.77 - 4.80V, 0.273d.
1612, 1,N:  ,Haedi; Haedus; Hoedus I. With HR 1641, one of the "kids"; Sadatoni; Saclateni.
1612, 1,S:  ,Also classified K5II + B5V.
1612, 1,SB: ,972.162d, K 24.6k/s, V0 +12.9k/s, msin3i 7.54, asini 300.  Unresolved by speckle interferometry . SKYLAB
1612, 2,SB: ,indicates cool star with hot companion.
1612, 1,VAR:,EA 3.70 - 3.97V, 972.164d, i 90d.  Variable duration of min.  Amp. depends on wavelength, 0.55B, 1.97U.  K component
1612, 2,VAR:,amp. 0.05V.
1615, 1,S:  ,H alpha, beta and gamma have absorption cores.  TiII and FeII stronger than normal; MgII, SiII strong.  Shell doubtful.
1616, 1,G:  ,Hyades group.
1619, 1,D:  ,BC binary 7.7, 10.7v sep. 0.5"; AxBC binary, B = GC 6148 A1IV?, vsini 53:k/s; D, 9.5 at 130".
1620, 1,D:  ,Probable double, 5.4, 5.4v, sep. 0.4".
1620, 1,G:  ,Hyades cluster; Mel 25 #129.
1621, 1,G:  ,Member of Pleiades group.
1622, 1,D:  ,Optical pair with HR 1623.
1622, 1,G:  ,Group with HR 1603, 1719.
1622, 1,RV: ,Pole on.  Rotationally unstable Be shell star.
1622, 1,VAR:,Gamma Cas, amp. 0.07V, period a few hours?
1623, 1,D:  ,Optical pair with HR 1622; C, 10.8v at 173" from B; D, 13.3 at 16" from B.
1623, 1,SB: ,80.1745d, K 22.7k/s, V0 +0.6k/s, asini 23.4.
1623, 1,VAR:,RS CVn amp. 0.14V, 82.8d.
